Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre,Genre_2020
16035,Candace Kane's Candy Factory,DS,2008.0,Dec,22.0,undefined,Destineer  ,Destineer  ,,,0.04,,,0.0,0.04,https://www.vgchartz.com/game/25996/candace-kanes-candy-factory/?region=All,Action,Action
16036,Sushi Go-Round,DS,2010.0,Mar,30.0,undefined,SouthPeak Interactive  ,Asylum Entertainment  ,,,0.04,,,0.0,0.04,https://www.vgchartz.com/game/43162/sushi-go-round/?region=All,Simulation,Simulation
16037,Company of Heroes,PC,2006.0,Sep,13.0,undefined,THQ  ,Relic  ,9.4,,,0.04,,0.0,0.04,https://www.vgchartz.com/game/7304/company-of-heroes/?region=All,Strategy,Strategy
16038,Yes! PreCure 5,DS,2007.0,Nov,29.0,undefined,Namco Bandai  ,Bandai Namco Games  ,,,,,0.04,,0.04,https://www.vgchartz.com/game/13000/yes-precure-5/?region=All,Action,Action
16039,Deer Hunter Reloaded,PS4,2017.0,Oct,24.0,undefined,GameMill Entertainment  ,GameMill  ,,,0.04,,,0.01,0.04,https://www.vgchartz.com/game/189459/deer-hunter-reloaded/?region=All,undefined,Shooter
16040,Trine 2: Director's Cut,WiiU,2012.0,Nov,18.0,undefined,Frozenbyte  ,Frozenbyte  ,7.8,,,0.04,,0.0,0.04,https://www.vgchartz.com/game/70974/trine-2-directors-cut/?region=All,undefined,Platform
16041,World Championship Spelling,DS,2010.0,Mar,30.0,undefined,505 Games  ,505 Games  ,,,0.04,,,0.0,0.04,https://www.vgchartz.com/game/44080/world-championship-spelling/?region=All,Misc,Misc
16042,Enemy Front,X360,2014.0,Jun,10.0,undefined,City Interactive  ,City Interactive  ,,,0.02,0.03,,0.0,0.04,https://www.vgchartz.com/game/80625/enemy-front/?region=All,Shooter,Shooter
16043,Supreme Commander,PC,2007.0,Feb,20.0,undefined,THQ  ,Gas Powered Games  ,8.7,,,0.04,,0.01,0.04,https://www.vgchartz.com/game/13156/supreme-commander/?region=All,Strategy,Strategy
16044,Fantastic Four: Rise of the Silver Surfer,DS,2007.0,Jun,15.0,undefined,2K Games  ,7 Studios  ,,,0.04,0.0,,0.0,0.04,https://www.vgchartz.com/game/6610/fantastic-four-rise-of-the-silver-surfer/?region=All,Action,Action
